molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL349461,Cc1ccc(C(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)cc1,12000.0,inactive
CHEMBL419065,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)[C@@H](O)C2CCCC2)c(F)c1,13000.0,inactive
CHEMBL445891,CC(C)[C@H](O)C(=O)N1C[C@H](OCc2ccccc2Cl)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,100000.0,intermediate
CHEMBL424194,CN(C(=O)c1ccc(Cl)cc1)c1cc(-c2ccccc2)sc1C(=O)O,1200.0,inactive
CHEMBL68089,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)[C@@H](O)C2CCCCC2)c(F)c1,14000.0,inactive
CHEMBL167856,Cc1ccccc1C(=O)N(C)c1cc(-c2ccccc2)sc1C(=O)O,21000.0,active
CHEMBL167790,Cc1ccc(S(=O)(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)c(C)c1,1000.0,inactive
CHEMBL305435,CC(C)[C@H](O)C(=O)N1C[C@H](OC2CCCCC2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,32000.0,inactive
CHEMBL68725,CC(C)[C@@H](O)C(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,100000.0,inactive
CHEMBL167182,Cc1ccc(C(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)cc1C,50000.0,inactive
CHEMBL352911,CC1CCC(C(=O)N(c2cc(-c3ccccc3)sc2C(=O)O)C(C)C)CC1,24000.0,inactive
CHEMBL303395,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)C(O)C2CC2)c(F)c1,100000.0,inactive
CHEMBL302988,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)CC2CCCC2)c(F)c1,34000.0,inactive
CHEMBL308654,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)[C@H](O)C2CCCC2)c(F)c1,62000.0,inactive
CHEMBL355076,CCc1ccc(C(=O)N(C)c2cc(-c3ccccc3)sc2C(=O)O)cc1,50000.0,inactive
CHEMBL167888,CN(C(=O)c1ccccc1)c1cc(-c2ccccc2)sc1C(=O)O,32000.0,intermediate
CHEMBL68035,CC(C)COC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)NCCc1ccc(C(=O)O)cc1Cl)C(C)C,2400.0,inactive
CHEMBL66065,O=C(O)c1cc(F)c(CCNC(=O)[C@H](CC(F)F)NC(=O)[C@@H]2C[C@@H](c3ccccc3)CN2C(=O)C(O)Cc2ccccc2)c(F)c1,100000.0,inactive
CHEMBL308193,CC(C)[C@H](O)C(=O)N1C[C@H](OCc2ccc(Br)cc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,12000.0,inactive
CHEMBL353453,CN(C(=O)c1ccc(C(F)(F)F)cc1)c1cc(-c2ccccc2)sc1C(=O)O,34000.0,intermediate
CHEMBL352911,CC1CCC(C(=O)N(c2cc(-c3ccccc3)sc2C(=O)O)C(C)C)CC1,1500.0,inactive
CHEMBL71391,CC(C)[C@H](O)C(=O)N1C[C@H](OCc2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,27000.0,inactive
CHEMBL69987,CC(C)CC(=O)N1C[C@H](c2ccccc2)C[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,58000.0,intermediate
CHEMBL69077,CC(C)C[C@H](NC(=O)[C@H](O)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,3000.0,intermediate
CHEMBL168083,Cc1ccc(C(=O)N(c2cc(-c3ccccc3)sc2C(=O)O)C(C)C)cc1,3000.0,inactive
CHEMBL326276,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)c(Cl)c1,30000.0,inactive
CHEMBL323191,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(F)cc1F,43000.0,intermediate
CHEMBL23283,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1Cl,3500.0,inactive
CHEMBL280721,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccccc1Cl,31000.0,inactive
CHEMBL114712,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)nc1Cl,31000.0,inactive
CHEMBL112120,O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)Nc1ccc(Cl)cc1Cl,31000.0,inactive
